Nama Kota;Luas Panen 2010;Luas Panen 2011;Luas Panen 2012;Luas Panen 2013;Luas Panen 2014;Luas Panen 2015;Luas Panen 2016;Luas Panen 2017;Luas Panen 2018;Luas Panen 2019;Luas Panen 2020;Luas Panen 2021;Luas Panen 2022;Luas Panen 2023;Luas Panen 2024;Produksi 2010;Produksi 2011;Produksi 2012;Produksi 2013;Produksi 2014;Produksi 2015;Produksi 2016;Produksi 2017;Produksi 2018;Produksi 2019;Produksi 2020;Produksi 2021;Produksi 2022;Produksi 2023;Produksi 2024;Produktivitas 2010;Produktivitas 2011;Produktivitas 2012;Produktivitas 2013;Produktivitas 2014;Produktivitas 2015;Produktivitas 2016;Produktivitas 2017;Produktivitas 2018;Produktivitas 2019;Produktivitas 2020;Produktivitas 2021;Produktivitas 2022;Produktivitas 2023;Produktivitas 2024
3173 - Kota Jakarta Pusat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3174 - Kota Jakarta Barat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3175 - Kota Jakarta Utara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3201 - Kab. Bogor;194;123;28;23;115;13;122.3;0;228.8;45.1;13.5;176;24.5;0;0;220;148;32;25;86;14;132;0;247;47;15;140;129;0;0;11.33;12.03;11.43;10.87;7.48;10.77;10.79313164;0;0;0;0;0;0;0;0
3202 - Kab. Sukabumi;366;209;238;764;1147;1045;428;0;12;57;676;107.6;78.7;0;0;382;221;267;1180;1224;1132;631;0;4;52;650;120.4;78;0;0;10.44;10.57;11.22;15.45;10.67;10.83;14.74299065;0;0;0;0;0;0;0;0
3203 - Kab. Cianjur;627;383;443;1217;387;316;205.9;0;97.1;102.6;515.8;249.1;236.8;0;0;633;385;446;1255;427;339;217;0;108;103;523;255;241;0;0;10.1;10.05;10.07;10.31;11.03;10.73;10.53909665;0;0;0;0;0;0;0;0
3204 - Kab. Bandung;0;8;12;6;0;0;0;0;0;0;0;0;0;0;0;0;11;14;11;0;0;0;0;0;0;0;0;0;0;0;0;13.75;11.67;18.33;0;0;0;0;0;0;0;0;0;0;0
3205 - Kab. Garut;1910;2235;1591;1966;1841;1078;1485;0;822;960;1022;651;741;0;0;2078;2395;1458;2142;2174;1326;1775;0;822;960;1297;769;843;0;0;10.88;10.72;9.16;10.9;11.81;12.3;11.95286195;0;0;0;0;0;0;0;0
3206 - Kab. Tasikmalaya;78;62;48;161;37;37;14;0;107.3;55;31.8;9;5;0;0;83;67;51;184;105;56;16;0;109;55;30;12.1;5.1;0;0;10.68;10.81;10.63;11.43;28.38;15.14;11.42857143;0;0;0;0;0;0;0;0
3207 - Kab. Ciamis;93;697;793;405;469;160;11;0;2306.7;141.1;6;133.3;197.7;0;0;116;911;826;484;568;283;16;0;1401;148;15;162.9;289;0;0;12.51;13.07;10.42;11.95;12.11;17.69;14.54545455;0;0;0;0;0;0;0;0
